epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,666.225,1.30439,3.8995,1.43008,0.7197,0.08775,0.2117,0.14278,1.14607,3.88789,1.34935,0.000827092,0.000275697,0.000827092,0.000275697,0.000827092,0.000275697,0.000827092,0.000275697
2,1167.95,1.13482,3.14921,1.30346,0.73818,0.66147,0.73739,0.49696,1.15508,2.1119,1.36393,0.00157792,0.000525973,0.00157792,0.000525973,0.00157792,0.000525973,0.00157792,0.000525973
3,1606.72,1.0986,1.91033,1.28162,0.90419,0.72748,0.84744,0.56792,1.11273,1.57396,1.32299,0.00224628,0.000748759,0.00224628,0.000748759,0.00224628,0.000748759,0.00224628,0.000748759
4,2415.46,1.04473,1.45946,1.23478,0.8776,0.80169,0.88653,0.62995,1.04383,1.37602,1.26731,0.0021279,0.000709299,0.0021279,0.000709299,0.0021279,0.000709299,0.0021279,0.000709299
5,2838.44,0.98449,1.24406,1.20061,0.85674,0.83975,0.90359,0.64247,1.02399,1.33286,1.23387,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066
6,3236.93,0.96481,1.14666,1.1885,0.88028,0.84845,0.91522,0.67104,1.00169,1.24325,1.21906,0.0018805,0.000626832,0.0018805,0.000626832,0.0018805,0.000626832,0.0018805,0.000626832
7,3640.31,0.9496,1.10163,1.165,0.88458,0.86184,0.92909,0.68194,0.99425,1.17614,1.21677,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599
8,5062.93,0.92561,1.04202,1.14274,0.8956,0.87161,0.93759,0.69651,0.97655,1.11239,1.19784,0.0016331,0.000544365,0.0016331,0.000544365,0.0016331,0.000544365,0.0016331,0.000544365
9,5470.83,0.90126,1.00705,1.12303,0.90199,0.87731,0.94143,0.70187,0.95886,1.08289,1.18627,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132
10,5879.69,0.87773,0.98186,1.1217,0.90703,0.86294,0.94148,0.70322,0.94966,1.07346,1.18093,0.0013857,0.000461898,0.0013857,0.000461898,0.0013857,0.000461898,0.0013857,0.000461898
11,6289.26,0.87231,1.08268,1.14729,0.90135,0.89077,0.94732,0.70949,0.94377,1.05042,1.18077,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665
12,6702.08,0.84297,1.01776,1.13401,0.90315,0.88343,0.95055,0.71803,0.92818,1.04468,1.161,0.00113829,0.000379431,0.00113829,0.000379431,0.00113829,0.000379431,0.00113829,0.000379431
13,7091.19,0.82965,0.98128,1.10932,0.89537,0.90013,0.95114,0.71922,0.91693,1.01777,1.15299,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198
14,7508.44,0.82727,0.97599,1.11163,0.90552,0.89206,0.95298,0.72236,0.91869,0.99918,1.1536,0.000890893,0.000296964,0.000890893,0.000296964,0.000890893,0.000296964,0.000890893,0.000296964
15,8121.02,0.81415,0.9486,1.10136,0.91564,0.89861,0.95597,0.72611,0.91244,0.98074,1.14404,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731
16,8527.17,0.80691,0.92972,1.09271,0.91756,0.90501,0.95809,0.72974,0.90531,0.96662,1.13645,0.000643493,0.000214497,0.000643493,0.000214497,0.000643493,0.000214497,0.000643493,0.000214497
17,8931.86,0.7957,0.91791,1.08715,0.91469,0.90403,0.96071,0.73441,0.89865,0.95002,1.13233,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264
18,9326.66,0.7932,0.90254,1.08073,0.92875,0.88501,0.95853,0.73125,0.89667,0.952,1.1297,0.000396092,0.000132031,0.000396092,0.000132031,0.000396092,0.000132031,0.000396092,0.000132031
19,9728.12,0.78383,0.90975,1.08346,0.92952,0.8911,0.9616,0.7323,0.8939,0.94223,1.12896,0.000272391,9.0797e-05,0.000272391,9.0797e-05,0.000272391,9.0797e-05,0.000272391,9.0797e-05
20,10140,0.78634,0.90329,1.07611,0.93107,0.89088,0.96162,0.73244,0.8939,0.9389,1.12982,0.000148691,4.95635e-05,0.000148691,4.95635e-05,0.000148691,4.95635e-05,0.000148691,4.95635e-05
